x,y,headinng,sonar_ang,read,expected
26.0,37.5,0.0,90.0,24.0,26.0
26.0,37.5,0.0,89.0,24.0,26.0
26.0,37.5,0.0,88.0,24.0,26.0
26.0,37.5,0.0,87.0,24.0,26.0
26.0,37.5,0.0,86.0,24.0,26.0
26.0,37.5,0.0,85.0,24.0,26.0
26.0,37.5,0.0,84.0,24.0,26.0
26.0,37.5,0.0,83.0,24.0,26.0
26.0,37.5,0.0,82.0,24.0,26.0
26.0,37.5,0.0,81.0,25.0,26.0
26.0,37.5,0.0,80.0,25.0,26.0
26.0,37.5,0.0,79.0,25.0,26.0
26.0,37.5,0.0,78.0,25.0,26.0
26.0,37.5,0.0,77.0,25.0,26.0
26.0,37.5,0.0,76.0,25.0,26.0
26.0,37.5,0.0,75.0,25.0,26.0
26.0,37.5,0.0,74.0,25.0,26.0
26.0,37.5,0.0,73.0,25.0,26.0
26.0,37.5,0.0,72.0,25.0,26.0
26.0,37.5,0.0,71.0,25.0,26.0
26.0,37.5,0.0,70.0,25.0,26.0
26.0,37.5,0.0,69.0,25.0,26.0
26.0,37.5,0.0,68.0,25.0,26.0
26.0,37.5,0.0,67.0,25.0,26.0
26.0,37.5,0.0,66.0,25.0,26.0
26.0,37.5,0.0,65.0,26.0,26.0
26.0,37.5,0.0,64.0,26.0,26.00395965576172
26.0,37.5,0.0,63.0,26.0,26.01584815979004
26.0,37.5,0.0,62.0,26.0,26.035680770874023
26.0,37.5,0.0,61.0,26.0,26.06348991394043
26.0,37.5,0.0,60.0,26.0,26.099315643310547
26.0,37.5,0.0,59.0,26.0,26.14321517944336
26.0,37.5,0.0,58.0,26.0,26.195255279541016
26.0,37.5,0.0,57.0,27.0,26.255516052246094
26.0,37.5,0.0,56.0,27.0,26.324092864990234
26.0,37.5,0.0,55.0,27.0,26.401092529296875
26.0,37.5,0.0,54.0,27.0,26.486635208129883
26.0,37.5,0.0,53.0,27.0,26.580854415893555
26.0,37.5,0.0,52.0,27.0,26.68390655517578
26.0,37.5,0.0,51.0,27.0,26.795955657958984
26.0,37.5,0.0,50.0,27.0,26.91718101501465
26.0,37.5,0.0,49.0,28.0,27.04778480529785
26.0,37.5,0.0,48.0,28.0,27.187986373901367
26.0,37.5,0.0,47.0,28.0,27.338016510009766
26.0,37.5,0.0,46.0,28.0,27.498138427734375
26.0,37.5,0.0,45.0,28.0,27.668621063232422
26.0,37.5,0.0,44.0,29.0,27.84977149963379
26.0,37.5,0.0,43.0,33.0,28.04190444946289
26.0,37.5,0.0,42.0,36.0,28.24536895751953
26.0,37.5,0.0,41.0,28.0,28.460542678833008
26.0,37.5,0.0,40.0,28.0,28.68782615661621
26.0,37.5,0.0,39.0,29.0,28.927650451660156
26.0,37.5,0.0,38.0,30.0,29.18048095703125
26.0,37.5,0.0,37.0,31.0,29.446821212768555
26.0,37.5,0.0,36.0,29.0,29.727205276489258
26.0,37.5,0.0,35.0,28.0,30.022212982177734
26.0,37.5,0.0,34.0,28.0,30.332468032836914
26.0,37.5,0.0,33.0,29.0,30.65863800048828
26.0,37.5,0.0,32.0,30.0,31.001445770263672
26.0,37.5,0.0,31.0,30.0,31.361665725708008
26.0,37.5,0.0,30.0,29.0,31.74013900756836
26.0,37.5,0.0,29.0,28.0,32.13776779174805
26.0,37.5,0.0,28.0,28.0,32.55552673339844
26.0,37.5,0.0,27.0,28.0,32.99447250366211
26.0,37.5,0.0,26.0,29.0,33.45574951171875
26.0,37.5,0.0,25.0,29.0,33.940589904785156
26.0,37.5,0.0,24.0,28.0,34.45033645629883
26.0,37.5,0.0,23.0,28.0,34.9864501953125
26.0,37.5,0.0,22.0,28.0,35.55051040649414
26.0,37.5,0.0,21.0,28.0,36.144256591796875
26.0,37.5,0.0,20.0,28.0,36.769554138183594
26.0,37.5,0.0,19.0,28.0,37.428470611572266
26.0,37.5,0.0,18.0,28.0,37.5
26.0,37.5,0.0,17.0,28.0,37.5
26.0,37.5,0.0,16.0,28.0,37.5
26.0,37.5,0.0,15.0,27.0,37.5
26.0,37.5,0.0,14.0,27.0,37.5
26.0,37.5,0.0,13.0,27.0,37.5
26.0,37.5,0.0,12.0,27.0,37.5
26.0,37.5,0.0,11.0,27.0,37.5
26.0,37.5,0.0,10.0,27.0,37.5
26.0,37.5,0.0,9.0,27.0,37.5
26.0,37.5,0.0,8.0,27.0,37.5
26.0,37.5,0.0,7.0,27.0,37.5
26.0,37.5,0.0,6.0,27.0,37.5
26.0,37.5,0.0,5.0,27.0,37.5
26.0,37.5,0.0,4.0,27.0,37.5
26.0,37.5,0.0,3.0,27.0,37.5
26.0,37.5,0.0,2.0,27.0,37.5
26.0,37.5,0.0,1.0,27.0,37.5
26.0,37.5,0.0,-0.0,27.0,37.5
26.0,37.5,0.0,-1.0,27.0,37.5
26.0,37.5,0.0,-2.0,27.0,37.5
26.0,37.5,0.0,-3.0,27.0,37.5
