x,y,headinng,sonar_ang,read,expected
57.5,62.0,0.0,90.0,70.0,57.5
57.5,62.0,0.0,89.0,62.0,57.5
57.5,62.0,0.0,88.0,55.0,57.5
57.5,62.0,0.0,87.0,59.0,57.5
57.5,62.0,0.0,86.0,59.0,57.5
57.5,62.0,0.0,85.0,54.0,57.5
57.5,62.0,0.0,84.0,64.0,57.5
57.5,62.0,0.0,83.0,61.0,57.5
57.5,62.0,0.0,82.0,57.0,57.5
57.5,62.0,0.0,81.0,57.0,57.5
57.5,62.0,0.0,80.0,59.0,57.5
57.5,62.0,0.0,79.0,59.0,57.5
57.5,62.0,0.0,78.0,50.0,57.5
57.5,62.0,0.0,77.0,64.0,57.5
57.5,62.0,0.0,76.0,66.0,57.5
57.5,62.0,0.0,75.0,56.0,57.5
57.5,62.0,0.0,74.0,62.0,57.5
57.5,62.0,0.0,73.0,60.0,57.5
57.5,62.0,0.0,72.0,64.0,57.5
57.5,62.0,0.0,71.0,61.0,57.5
57.5,62.0,0.0,70.0,63.0,57.5
57.5,62.0,0.0,69.0,60.0,57.5
57.5,62.0,0.0,68.0,54.0,57.5
57.5,62.0,0.0,67.0,50.0,57.5
57.5,62.0,0.0,66.0,56.0,57.5
57.5,62.0,0.0,65.0,65.0,57.5
57.5,62.0,0.0,64.0,56.0,57.508758544921875
57.5,62.0,0.0,63.0,58.0,57.53504943847656
57.5,62.0,0.0,62.0,57.0,57.57891082763672
57.5,62.0,0.0,61.0,56.0,57.64040756225586
57.5,62.0,0.0,60.0,53.0,57.71963882446289
57.5,62.0,0.0,59.0,57.0,57.81672668457031
57.5,62.0,0.0,58.0,59.0,57.93181610107422
57.5,62.0,0.0,57.0,56.0,58.065086364746094
57.5,62.0,0.0,56.0,62.0,58.21674728393555
57.5,62.0,0.0,55.0,61.0,58.38703155517578
57.5,62.0,0.0,54.0,63.0,58.576210021972656
57.5,62.0,0.0,53.0,57.0,58.784584045410156
57.5,62.0,0.0,52.0,56.0,59.01248550415039
57.5,62.0,0.0,51.0,60.0,59.260284423828125
57.5,62.0,0.0,50.0,64.0,59.528377532958984
57.5,62.0,0.0,49.0,60.0,59.81721496582031
