x,y,headinng,sonar_ang,read,expected
59.0,66.0,0.0,90.0,57.0,59.0
59.0,66.0,0.0,89.0,56.0,59.0
59.0,66.0,0.0,88.0,58.0,59.0
59.0,66.0,0.0,87.0,56.0,59.0
59.0,66.0,0.0,86.0,67.0,59.0
59.0,66.0,0.0,85.0,59.0,59.0
59.0,66.0,0.0,84.0,65.0,59.0
59.0,66.0,0.0,83.0,53.0,59.0
59.0,66.0,0.0,82.0,64.0,59.0
59.0,66.0,0.0,81.0,55.0,59.0
59.0,66.0,0.0,80.0,55.0,59.0
59.0,66.0,0.0,79.0,55.0,59.0
59.0,66.0,0.0,78.0,57.0,59.0
59.0,66.0,0.0,77.0,56.0,59.0
59.0,66.0,0.0,76.0,46.0,59.0
59.0,66.0,0.0,75.0,61.0,59.0
59.0,66.0,0.0,74.0,64.0,59.0
59.0,66.0,0.0,73.0,55.0,59.0
59.0,66.0,0.0,72.0,58.0,59.0
59.0,66.0,0.0,71.0,64.0,59.0
59.0,66.0,0.0,70.0,65.0,59.0
59.0,66.0,0.0,69.0,67.0,59.0
59.0,66.0,0.0,68.0,60.0,59.0
59.0,66.0,0.0,67.0,59.0,59.0
59.0,66.0,0.0,66.0,59.0,59.0
59.0,66.0,0.0,65.0,60.0,59.0
59.0,66.0,0.0,64.0,57.0,59.0
59.0,66.0,0.0,63.0,54.0,59.0
59.0,66.0,0.0,62.0,61.0,59.0
59.0,66.0,0.0,61.0,61.0,59.0
59.0,66.0,0.0,60.0,61.0,59.0
59.0,66.0,0.0,59.0,59.0,59.0
59.0,66.0,0.0,58.0,59.0,59.0
59.0,66.0,0.0,57.0,57.0,59.0
59.0,66.0,0.0,56.0,67.0,59.0
59.0,66.0,0.0,55.0,68.0,59.0
59.0,66.0,0.0,54.0,62.0,59.00898742675781
59.0,66.0,0.0,53.0,67.0,59.03596115112305
59.0,66.0,0.0,52.0,71.0,59.08096694946289
59.0,66.0,0.0,51.0,62.0,59.144073486328125
59.0,66.0,0.0,50.0,65.0,59.225372314453125
59.0,66.0,0.0,49.0,63.0,59.324989318847656
59.0,66.0,0.0,48.0,70.0,59.44308090209961
59.0,66.0,0.0,47.0,72.0,59.57982635498047
59.0,66.0,0.0,46.0,69.0,59.735443115234375
59.0,66.0,0.0,45.0,76.0,59.91017150878906
59.0,66.0,0.0,44.0,72.0,60.104286193847656
59.0,66.0,0.0,43.0,77.0,60.318092346191406
59.0,66.0,0.0,42.0,74.0,60.55194091796875
59.0,66.0,0.0,41.0,69.0,60.80620193481445
59.0,66.0,0.0,40.0,63.0,61.081295013427734
59.0,66.0,0.0,39.0,79.0,61.37766647338867
59.0,66.0,0.0,38.0,71.0,61.69581604003906
59.0,66.0,0.0,37.0,79.0,62.03627014160156
59.0,66.0,0.0,36.0,72.0,62.399620056152344
59.0,66.0,0.0,35.0,67.0,62.7864875793457
59.0,66.0,0.0,34.0,70.0,63.19755554199219
59.0,66.0,0.0,33.0,73.0,63.633548736572266
59.0,66.0,0.0,32.0,74.0,64.09526062011719
59.0,66.0,0.0,31.0,74.0,64.58354187011719
59.0,66.0,0.0,30.0,69.0,65.09929656982422
59.0,66.0,0.0,29.0,62.0,65.64351654052734
59.0,66.0,0.0,28.0,73.0,66.0
59.0,66.0,0.0,27.0,66.0,66.0
59.0,66.0,0.0,26.0,69.0,66.0
59.0,66.0,0.0,25.0,64.0,66.0
59.0,66.0,0.0,24.0,71.0,66.0
59.0,66.0,0.0,23.0,72.0,66.0
59.0,66.0,0.0,22.0,65.0,66.0
59.0,66.0,0.0,21.0,66.0,66.0
59.0,66.0,0.0,20.0,68.0,66.0
59.0,66.0,0.0,19.0,63.0,66.0
59.0,66.0,0.0,18.0,65.0,66.0
59.0,66.0,0.0,17.0,68.0,66.0
59.0,66.0,0.0,16.0,63.0,66.0
59.0,66.0,0.0,15.0,68.0,66.0
59.0,66.0,0.0,14.0,59.0,66.0
59.0,66.0,0.0,13.0,64.0,66.0
59.0,66.0,0.0,12.0,64.0,66.0
59.0,66.0,0.0,11.0,64.0,66.0
59.0,66.0,0.0,10.0,65.0,66.0
59.0,66.0,0.0,9.0,61.0,66.0
