read,Expected 20
57,59
57,59
57,59
57,59
57,59
57,59
58,59
58,59
58,59
58,59
58,59
58,59
58,59
58,59
58,59
58,59
58,59
58,59
58,59
58,59
59,59
59,59.0089874268
59,59.0359611511
59,59.0809669495
59,59.1440734863
59,59.2253723145
59,59.3249893188
60,59.4430809021
60,59.579826355
60,59.7354431152
60,59.9101715088
60,60.1042861938
60,60.3180923462
60,60.551940918
60,60.8062019348
60,61.0812950134
60,61.3776664734
60,61.69581604
61,62.0362701416
61,62.3996200562
61,62.7864875793
61,63.197555542
61,63.6335487366
63,64.0952606201
84,64.5835418701
84,65.0992965698
62,65.6435165405
61,66.2172470093
61,66.8216323853
64,67.4578933716
84,68.1273345947
84,68.8313674927
62,69.3965072632
61,69.0156555176
61,68.6597595215
64,68.3282241821
63,68.0205001831
61,67.7360687256
61,67.4744796753
61,67.2353057861
61,67.018157959
61,66.8227005005
61,66.6486206055
60,66.4956512451
60,66.3635482788
60,66.2521057129
60,66.1611633301
60,66.0905761719
60,66.0402297974
60,66.010055542
60,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66
58,66
59,66
59,66
59,66
59,66
59,66
58,66
58,66
58,66
58,66
58,66
58,66
58,66
58,66
58,66
58,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66
59,66.010055542
59,66.0402297974
59,66.0905761719
59,66.1611633301
59,66.2521057129
59,66.3635482788
59,66.4956512451
59,66.6486206055
59,66.8227005005
60,67.018157959
60,67.2353057861
60,67.4744796753
60,67.7360687256
60,68.0205001831
60,68.3282241821
60,68.6597595215
61,69.0156555176
61,69.3965072632
61,69.8029632568
61,70.2357254028
62,70.69556427
61,71.1832962036
62,71.6997833252
62,72.2459945679
63,72.8229446411
63,73.4317321777
64,74.0735321045
64,74.7496261597
65,75.4613647461
107,76.2102355957
107,76.9978027344
107,77.8257675171
107,78.6959762573
107,79.6103820801
107,80.5711212158
107,81.5804901123
108,82.2783126831
108,80.6078948975
107,74
106,73.5831375122
106,73.1931152344
73,72.829284668
107,72.1777496338
74,71.8889923096
73,71.6242675781
72,71.3831558228
72,71.1652679443
72,70.9702453613
72,70.7977905273
71,70.6476593018
71,70.5195922852
71,70.4133987427
71,70.3289108276
71,70.2660064697
70,70.2245864868
70,70.2045822144
70,70.2045822144
