x,y,headinng,sonar_ang,read,expected
59.0,66.0,0.0,90.0,54.0,59.0
59.0,66.0,0.0,89.0,61.0,59.0
59.0,66.0,0.0,88.0,60.0,59.0
59.0,66.0,0.0,87.0,58.0,59.0
59.0,66.0,0.0,86.0,58.0,59.0
59.0,66.0,0.0,85.0,62.0,59.0
59.0,66.0,0.0,84.0,62.0,59.0
59.0,66.0,0.0,83.0,58.0,59.0
59.0,66.0,0.0,82.0,49.0,59.0
59.0,66.0,0.0,81.0,61.0,59.0
59.0,66.0,0.0,80.0,54.0,59.0
59.0,66.0,0.0,79.0,63.0,59.0
59.0,66.0,0.0,78.0,59.0,59.0
59.0,66.0,0.0,77.0,64.0,59.0
59.0,66.0,0.0,76.0,65.0,59.0
59.0,66.0,0.0,75.0,58.0,59.0
59.0,66.0,0.0,74.0,61.0,59.0
59.0,66.0,0.0,73.0,50.0,59.0
59.0,66.0,0.0,72.0,57.0,59.0
59.0,66.0,0.0,71.0,61.0,59.0
59.0,66.0,0.0,70.0,51.0,59.0
59.0,66.0,0.0,69.0,65.0,59.0
59.0,66.0,0.0,68.0,63.0,59.0
59.0,66.0,0.0,67.0,65.0,59.0
59.0,66.0,0.0,66.0,59.0,59.0
59.0,66.0,0.0,65.0,62.0,59.0
59.0,66.0,0.0,64.0,67.0,59.00898742675781
59.0,66.0,0.0,63.0,62.0,59.03596115112305
59.0,66.0,0.0,62.0,61.0,59.08096694946289
59.0,66.0,0.0,61.0,67.0,59.144073486328125
59.0,66.0,0.0,60.0,59.0,59.225372314453125
59.0,66.0,0.0,59.0,56.0,59.324989318847656
59.0,66.0,0.0,58.0,57.0,59.44308090209961
59.0,66.0,0.0,57.0,64.0,59.57982635498047
59.0,66.0,0.0,56.0,64.0,59.735443115234375
59.0,66.0,0.0,55.0,67.0,59.91017150878906
59.0,66.0,0.0,54.0,65.0,60.104286193847656
59.0,66.0,0.0,53.0,66.0,60.318092346191406
59.0,66.0,0.0,52.0,63.0,60.55194091796875
59.0,66.0,0.0,51.0,68.0,60.80620193481445
59.0,66.0,0.0,50.0,65.0,61.081295013427734
59.0,66.0,0.0,49.0,67.0,61.37766647338867
59.0,66.0,0.0,48.0,68.0,61.69581604003906
59.0,66.0,0.0,47.0,64.0,62.03627014160156
59.0,66.0,0.0,46.0,68.0,62.399620056152344
59.0,66.0,0.0,45.0,71.0,62.7864875793457
59.0,66.0,0.0,44.0,67.0,63.19755554199219
59.0,66.0,0.0,43.0,70.0,63.633548736572266
59.0,66.0,0.0,42.0,69.0,64.09526062011719
59.0,66.0,0.0,41.0,68.0,64.58354187011719
59.0,66.0,0.0,40.0,74.0,65.09929656982422
59.0,66.0,0.0,39.0,70.0,65.64351654052734
59.0,66.0,0.0,38.0,69.0,66.21724700927734
59.0,66.0,0.0,37.0,72.0,66.8216323852539
59.0,66.0,0.0,36.0,70.0,67.23530578613281
59.0,66.0,0.0,35.0,70.0,67.01815795898438
59.0,66.0,0.0,34.0,69.0,66.82270050048828
59.0,66.0,0.0,33.0,68.0,66.64862060546875
59.0,66.0,0.0,32.0,71.0,66.49565124511719
59.0,66.0,0.0,31.0,77.0,66.3635482788086
59.0,66.0,0.0,30.0,70.0,66.25210571289062
59.0,66.0,0.0,29.0,67.0,66.16116333007812
59.0,66.0,0.0,28.0,74.0,66.090576171875
59.0,66.0,0.0,27.0,62.0,66.04022979736328
59.0,66.0,0.0,26.0,64.0,66.01005554199219
59.0,66.0,0.0,25.0,70.0,66.0
59.0,66.0,0.0,24.0,71.0,66.0
59.0,66.0,0.0,23.0,66.0,66.0
59.0,66.0,0.0,22.0,67.0,66.0
59.0,66.0,0.0,21.0,58.0,66.0
59.0,66.0,0.0,20.0,68.0,66.0
59.0,66.0,0.0,19.0,67.0,66.0
59.0,66.0,0.0,18.0,70.0,66.0
59.0,66.0,0.0,17.0,70.0,66.0
59.0,66.0,0.0,16.0,63.0,66.0
59.0,66.0,0.0,15.0,63.0,66.0
59.0,66.0,0.0,14.0,66.0,66.0
59.0,66.0,0.0,13.0,69.0,66.0
59.0,66.0,0.0,12.0,71.0,66.0
59.0,66.0,0.0,11.0,70.0,66.0
59.0,66.0,0.0,10.0,66.0,66.0
59.0,66.0,0.0,9.0,59.0,66.0
59.0,66.0,0.0,8.0,62.0,66.0
59.0,66.0,0.0,7.0,60.0,66.0
59.0,66.0,0.0,6.0,60.0,66.0
59.0,66.0,0.0,5.0,67.0,66.0
59.0,66.0,0.0,4.0,77.0,66.0
59.0,66.0,0.0,3.0,66.0,66.0
59.0,66.0,0.0,2.0,66.0,66.0
59.0,66.0,0.0,1.0,72.0,66.0
59.0,66.0,0.0,-0.0,63.0,66.0
59.0,66.0,0.0,-1.0,69.0,66.0
59.0,66.0,0.0,-2.0,59.0,66.0
59.0,66.0,0.0,-3.0,67.0,66.0
59.0,66.0,0.0,-4.0,68.0,66.0
59.0,66.0,0.0,-5.0,75.0,66.0
59.0,66.0,0.0,-6.0,64.0,66.0
59.0,66.0,0.0,-7.0,62.0,66.0
59.0,66.0,0.0,-8.0,66.0,66.0
59.0,66.0,0.0,-9.0,68.0,66.0
59.0,66.0,0.0,-10.0,61.0,66.0
59.0,66.0,0.0,-11.0,67.0,66.0
59.0,66.0,0.0,-12.0,72.0,66.0
59.0,66.0,0.0,-13.0,65.0,66.0
59.0,66.0,0.0,-14.0,62.0,66.0
59.0,66.0,0.0,-15.0,62.0,66.0
59.0,66.0,0.0,-16.0,70.0,66.0
59.0,66.0,0.0,-17.0,68.0,66.0
59.0,66.0,0.0,-18.0,66.0,66.0
59.0,66.0,0.0,-19.0,65.0,66.0
59.0,66.0,0.0,-20.0,69.0,66.0
59.0,66.0,0.0,-21.0,69.0,66.0
59.0,66.0,0.0,-22.0,64.0,66.0
59.0,66.0,0.0,-23.0,68.0,66.0
59.0,66.0,0.0,-24.0,68.0,66.0
59.0,66.0,0.0,-25.0,65.0,66.0
59.0,66.0,0.0,-26.0,58.0,66.01005554199219
59.0,66.0,0.0,-27.0,75.0,66.04022979736328
59.0,66.0,0.0,-28.0,62.0,66.090576171875
59.0,66.0,0.0,-29.0,63.0,66.16116333007812
59.0,66.0,0.0,-30.0,71.0,66.25210571289062
59.0,66.0,0.0,-31.0,72.0,66.3635482788086
59.0,66.0,0.0,-32.0,70.0,66.49565124511719
59.0,66.0,0.0,-33.0,72.0,66.64862060546875
59.0,66.0,0.0,-34.0,68.0,66.82270050048828
59.0,66.0,0.0,-35.0,72.0,67.01815795898438
59.0,66.0,0.0,-36.0,74.0,67.23530578613281
59.0,66.0,0.0,-37.0,72.0,67.47447967529297
59.0,66.0,0.0,-38.0,73.0,67.73606872558594
59.0,66.0,0.0,-39.0,70.0,68.02050018310547
59.0,66.0,0.0,-40.0,69.0,68.3282241821289
59.0,66.0,0.0,-41.0,78.0,68.65975952148438
59.0,66.0,0.0,-42.0,73.0,69.01565551757812
59.0,66.0,0.0,-43.0,74.0,69.3965072631836
59.0,66.0,0.0,-44.0,77.0,69.80296325683594
59.0,66.0,0.0,-45.0,82.0,70.23572540283203
59.0,66.0,0.0,-46.0,78.0,70.69556427001953
59.0,66.0,0.0,-47.0,74.0,71.18329620361328
59.0,66.0,0.0,-48.0,78.0,71.69978332519531
59.0,66.0,0.0,-49.0,79.0,72.2459945678711
59.0,66.0,0.0,-50.0,88.0,72.82294464111328
59.0,66.0,0.0,-51.0,82.0,73.43173217773438
59.0,66.0,0.0,-52.0,77.0,74.07353210449219
59.0,66.0,0.0,-53.0,84.0,74.74962615966797
59.0,66.0,0.0,-54.0,85.0,75.46136474609375
59.0,66.0,0.0,-55.0,86.0,76.21023559570312
59.0,66.0,0.0,-56.0,94.0,76.997802734375
59.0,66.0,0.0,-57.0,84.0,77.82576751708984
59.0,66.0,0.0,-58.0,82.0,77.73737335205078
59.0,66.0,0.0,-59.0,80.0,77.10912322998047
59.0,66.0,0.0,-60.0,81.0,76.51404571533203
59.0,66.0,0.0,-61.0,88.0,75.95103454589844
59.0,66.0,0.0,-62.0,87.0,75.41905975341797
59.0,66.0,0.0,-63.0,86.0,74.91716003417969
59.0,66.0,0.0,-64.0,77.0,74.44441223144531
59.0,66.0,0.0,-65.0,80.0,74.0
59.0,66.0,0.0,-66.0,81.0,73.58313751220703
59.0,66.0,0.0,-67.0,72.0,73.193115234375
59.0,66.0,0.0,-68.0,78.0,72.82928466796875
59.0,66.0,0.0,-69.0,77.0,72.49100494384766
59.0,66.0,0.0,-70.0,73.0,72.17774963378906
59.0,66.0,0.0,-71.0,73.0,71.88899230957031
59.0,66.0,0.0,-72.0,75.0,71.624267578125
59.0,66.0,0.0,-73.0,65.0,71.3831558227539
59.0,66.0,0.0,-74.0,77.0,71.16526794433594
59.0,66.0,0.0,-75.0,76.0,70.97024536132812
59.0,66.0,0.0,-76.0,76.0,70.79779052734375
59.0,66.0,0.0,-77.0,73.0,70.64765930175781
59.0,66.0,0.0,-78.0,71.0,70.51959228515625
59.0,66.0,0.0,-79.0,75.0,70.41339874267578
59.0,66.0,0.0,-80.0,74.0,70.32891082763672
59.0,66.0,0.0,-81.0,71.0,70.26600646972656
59.0,66.0,0.0,-82.0,69.0,70.2245864868164
59.0,66.0,0.0,-83.0,76.0,70.20458221435547
59.0,66.0,0.0,-84.0,74.0,70.20458221435547
59.0,66.0,0.0,-85.0,70.0,70.20458221435547
59.0,66.0,0.0,-86.0,79.0,70.20458221435547
59.0,66.0,0.0,-87.0,67.0,70.20458221435547
59.0,66.0,0.0,-88.0,64.0,70.20458221435547
59.0,66.0,0.0,-89.0,70.0,70.20458221435547
59.0,66.0,0.0,-90.0,76.0,70.20458221435547
